smi_0	COCCOc1cc2c(ncnc2cc1OCCOC)Nc1cccc(c1)C#C
smi_1	N#CC(c1cccc(c1)C(=O)Nc1ccc(c(c1)Nc1ccc2c(c1)c(=O)n(cn2)C)C)(C)C
smi_2	CNC(=O)c1nccc(c1)Oc1ccc(cc1)NC(=O)Nc1ccc(c(c1)C(F)(F)F)Cl
smi_3	CN1CCN(CC1)c1nc(Sc2ccc(cc2)NC(=O)C2CC2)nc(c1)Nc1n[nH]c(c1)C
smi_4	CN1CCN(CC1)Cc1ccc(cc1)C(=O)Nc1ccc(c(c1)Nc1nccc(n1)c1cccnc1)C
smi_5	COc1cc(ccc1Nc1ncc(c(n1)Nc1ccccc1S(=O)(=O)C(C)C)Cl)N1CCC(CC1)N1CCN(CC1)C
smi_6	CN1CCN(CC1)CCOc1cc(OC2CCOCC2)c2c(c1)ncnc2Nc1c(Cl)ccc2c1OCO2
smi_7	NC(C(=O)O)CSC(c1ccccc1)(c1ccccc1)c1ccccc1
smi_8	OCCN1CCN(CC1)c1cc(nc(n1)C)Nc1ncc(s1)C(=O)Nc1c(C)cccc1Cl
smi_9	NC(=O)c1cccc(c1)c1ncnc(c1)Nc1ccc(cc1)OC(F)(F)F
smi_10	OCCCNc1nccc(c1)c1ccnc(n1)Nc1cccc(c1)Cl
smi_11	COc1cc(OC)ccc1N(C(=O)Oc1c(C)cccc1C)c1ccnc(n1)Nc1ccc(cc1)N1CCN(CC1)C
smi_12	COc1cc(C)c(cc1C(=O)N1CCN(CC1)C(=O)C)Sc1cnc(s1)NC(=O)c1ccc(cc1)CNC(C(C)(C)C)C
smi_13	OCCCn1c(C(=O)CCl)c(c2c1ncnc2N)c1ccc(cc1)C
smi_14	CCc1nc(N)nc(c1c1ccc(cc1)Cl)N
smi_15	COc1cc2c(cc1OC)ncn2c1cc(c(s1)C(=O)N)OCc1ccccc1C(F)(F)F
smi_16	O=C(OCc1cccnc1)NCc1ccc(cc1)C(=O)Nc1ccccc1N
smi_17	N#Cc1sc(cc1OCc1ccccc1S(=O)(=O)C)n1cnc2c1cc(OC)c(c2)OC
smi_18	COc1cc(ccc1Nc1ncc2c(n1)n(C)c1ccccc1c(=O)n2C)N1CCN(CC1)C
smi_19	CCC(Nc1nc(NCc2ccccc2)c2c(n1)n(cn2)C(C)C)CO
smi_20	Fc1cccc(c1)COc1ccc(cc1Cl)Nc1ncnc2c1cc(cc2)c1ccc(o1)CNCCS(=O)(=O)C
smi_21	CCn1c(nc2c1cc(nc2)Oc1cccc(c1)NC(=O)c1ccc(cc1)OCCN1CCOCC1)c1nonc1N
smi_22	COc1cc(cc(c1O)OC)C1C2C(=O)OCC2C(c2c1cc1OCOc1c2)OC1OC2COC(OC2C(C1O)O)C
smi_23	CCC1=CC2CN(C1)Cc1c3ccccc3[nH]c1C(C2)(C(=O)OC)c1cc2c(cc1OC)N(C1C32CCN2C3C(CC)(C=CC2)C(C1(O)C(=O)OC)OC(=O)C)C
smi_24	Oc1c(N=Nc2ccc3c(c2)ccc(c3)S(=O)(=O)O)cc(c2c1nccc2)S(=O)(=O)O
smi_25	N#Cc1ccc(cc1C(F)(F)F)NC(=O)C(CS(=O)(=O)c1ccc(cc1)F)(O)C
smi_26	COc1cc2c(cc1OC)ncnc2n1nc(nc1N)c1ccccn1
smi_27	COC1C(CC2OC1(C)n1c3ccccc3c3c1c1n2c2ccccc2c1c1c3CNC1=O)N(C(=O)c1ccccc1)C
smi_28	CN1CCN(CC1)Cc1ccc(cc1C(F)(F)F)NC(=O)c1ccc(c(c1)C#Cc1cnc2n1nccc2)C
smi_29	O=C1Nc2c(C1)cc(cc2)Nc1ncc(c(n1)NCc1cccnc1N(S(=O)(=O)C)C)C(F)(F)F
smi_30	CCN1CCN(CC1)Cc1ccc(cc1C(F)(F)F)NC(=O)c1ccc(c(c1)C=Cc1cnc2c(c1OC)cc[nH]2)C
smi_31	CC(=O)Nc1ccc(cc1)C(=O)Nc1cc(ccc1N)c1cccs1
smi_32	COC(=O)CNC(=O)C(=O)OC
smi_33	CSCCC(C(=O)OC)NC(=O)c1ccc(cc1c1ccccc1)NCC(CS)N
smi_34	NCC(=O)Nc1ccc(cc1)n1nc(cc1c1ccc2c(c1)ccc1c2cccc1)C(F)(F)F
smi_35	CC(=CCC(C1=CC(=O)c2c(C1=O)c(O)ccc2O)O)C
smi_36	CCCCCCCCCCCC1=C(O)C(=O)C=C(C1=O)O
smi_37	Clc1ccc(c(c1)S(=O)(=O)Nc1ccc(cc1C)[N+](=O)[O-])Cl
smi_38	C=CCc1cccc(c1O)C=NNC(=O)CN1CCN(CC1)Cc1ccccc1
smi_39	Oc1ccc2c(c1SSc1c(O)ccc3c1cccc3)cccc2
smi_40	OC(=O)c1ccc(cc1C1CCCC1)c1c[nH]c2c1cc(cn2)c1ccccc1
smi_41	Fc1c[nH]c(=O)[nH]c1=O
