epoch,ach_id,loss,mean_reward,validity,baseline,entropy,invalid_penalty,mean_reward_valid,min_reward_valid,max_reward_valid,frac_valid_below_penalty
1,ACH-000019,-1268.455810546875,-5.787652969360352,0.140625,-0.5787652969360351,1.7593846321105957,-6.0,-4.489978313446045,-5.036343574523926,-3.998394250869751,0.0
2,ACH-000044,-1324.66064453125,-5.7476806640625,0.109375,-1.0956568336486816,2.0465846061706543,-6.0,-3.693082332611084,-3.7894697189331055,-3.471472978591919,0.0
3,ACH-000097,-1040.2508544921875,-5.8679375648498535,0.109375,-1.5728849067687987,1.7651393413543701,-6.0,-4.792572021484375,-5.209274768829346,-4.505903720855713,0.0
4,ACH-000111,-840.970458984375,-5.718537330627441,0.171875,-1.9874501491546628,1.573378562927246,-6.0,-4.362400054931641,-4.838841915130615,-3.5371785163879395,0.0
5,ACH-000117,-796.35986328125,-5.777587890625,0.171875,-2.3664639233016964,1.697142481803894,-6.0,-4.705965995788574,-4.952988624572754,-4.365718841552734,0.0
6,ACH-000147,-702.3129272460938,-5.745852470397949,0.1875,-2.7044027780113216,1.6326930522918701,-6.0,-4.6445465087890625,-5.181596279144287,-3.900622606277466,0.0
7,ACH-000148,-728.6548461914062,-5.819456100463867,0.140625,-3.015908110256576,1.8599882125854492,-6.0,-4.716132164001465,-5.201488971710205,-4.087574005126953,0.0
8,ACH-000196,-592.84033203125,-5.745981216430664,0.109375,-3.288915420873985,1.6804633140563965,-6.0,-3.6775412559509277,-4.3002729415893555,-3.4981346130371094,0.0
9,ACH-000212,-635.8709716796875,-5.838830947875977,0.125,-3.5439069735741837,1.943284273147583,-6.0,-4.7106475830078125,-5.147705078125,-4.220802307128906,0.0
10,ACH-000223,-556.0498657226562,-5.853717803955078,0.109375,-3.774888056612273,1.916732668876648,-6.0,-4.6625657081604,-4.921514987945557,-4.559540748596191,0.0
11,ACH-000248,-427.0398254394531,-5.536573886871338,0.25,-3.951056639638179,1.6012766361236572,-6.0,-4.146294593811035,-4.528453826904297,-3.242990016937256,0.0
12,ACH-000258,-410.1109313964844,-5.520960807800293,0.1875,-4.1080470564543905,1.674665927886963,-6.0,-3.4451255798339844,-4.742382049560547,-3.1662211418151855,0.0
13,ACH-000276,-368.4212646484375,-5.728545188903809,0.1875,-4.270096869699332,1.6482213735580444,-6.0,-4.552241325378418,-4.937499046325684,-4.127589225769043,0.0
14,ACH-000277,-393.3049011230469,-5.725915908813477,0.171875,-4.415678773610747,1.9216105937957764,-6.0,-4.405328273773193,-4.608165264129639,-3.9006388187408447,0.0
15,ACH-000288,-281.767578125,-5.851553916931152,0.109375,-4.559266287942787,1.5062379837036133,-6.0,-4.6427788734436035,-5.034789085388184,-4.245874404907227,0.0
16,ACH-000330,-274.14093017578125,-5.835232734680176,0.109375,-4.686862932616526,1.6292427778244019,-6.0,-4.493556976318359,-4.991362571716309,-4.37435245513916,0.0
17,ACH-000349,-308.3636169433594,-5.890145301818848,0.078125,-4.807191169536758,1.974965214729309,-6.0,-4.5938544273376465,-5.019832134246826,-4.487360000610352,0.0
18,ACH-000352,-310.78662109375,-5.8026628494262695,0.109375,-4.906738337525709,2.210409164428711,-6.0,-4.195777893066406,-4.301857948303223,-4.009791851043701,0.0
19,ACH-000374,-199.43359375,-5.862771987915039,0.09375,-5.002341702564642,1.549595832824707,-6.0,-4.53623628616333,-4.942229747772217,-4.153618335723877,0.0
20,ACH-000536,-200.70968627929688,-5.790359973907471,0.15625,-5.081143529698926,1.7187995910644531,-6.0,-4.658305644989014,-5.152092933654785,-4.512208938598633,0.0
21,ACH-000554,-193.80657958984375,-5.791552543640137,0.15625,-5.152184431093047,1.7884852886199951,-6.0,-4.665938854217529,-5.056385040283203,-4.471846580505371,0.0
22,ACH-000568,-212.84852600097656,-5.826418876647949,0.09375,-5.219607875648537,2.108248710632324,-6.0,-4.14846658706665,-4.321619987487793,-3.9068217277526855,0.0
23,ACH-000573,-178.83912658691406,-5.763695240020752,0.15625,-5.274016612085759,1.924333095550537,-6.0,-4.487650394439697,-4.559545040130615,-4.308737754821777,0.0
24,ACH-000621,-122.54073333740234,-5.694720268249512,0.203125,-5.316086977702134,1.4494669437408447,-6.0,-4.4970831871032715,-5.209857940673828,-3.9938273429870605,0.0
25,ACH-000624,-142.31700134277344,-5.761810302734375,0.109375,-5.3606593102053575,1.7626399993896484,-6.0,-3.8222663402557373,-4.319440841674805,-3.4541819095611572,0.0
26,ACH-000643,-133.39297485351562,-5.844786643981934,0.125,-5.409072043583015,1.742835521697998,-6.0,-4.758294582366943,-5.186069965362549,-4.278295516967773,0.0
27,ACH-000668,-119.4081039428711,-5.810677528381348,0.125,-5.449232592062848,1.7160649299621582,-6.0,-4.485422134399414,-5.066220283508301,-3.7773237228393555,0.0
28,ACH-000691,-118.40486145019531,-5.814824104309082,0.109375,-5.485791743287471,1.8324604034423828,-6.0,-4.3069610595703125,-4.817566871643066,-4.0776543617248535,0.0
29,ACH-000699,-87.53080749511719,-5.744444847106934,0.203125,-5.511657053669418,1.445638656616211,-6.0,-4.741883754730225,-5.015292167663574,-4.390990257263184,0.0
30,ACH-000711,-104.6775131225586,-5.774901390075684,0.140625,-5.537981487310044,1.8007835149765015,-6.0,-4.399299621582031,-5.183089733123779,-3.3715360164642334,0.0
31,ACH-000725,-101.21023559570312,-5.883321762084961,0.09375,-5.572515514787536,1.8507649898529053,-6.0,-4.755431175231934,-5.088707447052002,-4.2861528396606445,0.0
