epoch,ach_id,loss,mean_reward,validity,baseline,entropy
1,ACH-000019,-635.5396728515625,-3.2095282077789307,0.140625,-0.320952820777893,1.7593846321105957
2,ACH-000044,-668.4712524414062,-3.075805902481079,0.109375,-0.5964381289482116,2.0912656784057617
3,ACH-000097,-510.5721130371094,-3.1960625648498535,0.109375,-0.8564005725383758,1.7652161121368408
4,ACH-000111,-408.67010498046875,-3.2341623306274414,0.171875,-1.0941767483472822,1.5740299224853516
5,ACH-000117,-379.4384765625,-3.293212890625,0.171875,-1.314080362575054,1.6973074674606323
6,ACH-000147,-326.9568176269531,-3.308352470397949,0.1875,-1.5135075733573433,1.6325633525848389
7,ACH-000148,-329.788818359375,-3.241331100463867,0.140625,-1.6862899260679958,1.8601889610290527
8,ACH-000196,-255.24575805664062,-3.074106216430664,0.109375,-1.8250715551042624,1.639021396636963
9,ACH-000212,-276.4784851074219,-3.2138309478759766,0.125,-1.9639474943814337,1.9434702396392822
10,ACH-000223,-240.4794464111328,-3.1563527584075928,0.09375,-2.08318802078405,1.9614148139953613
11,ACH-000248,-177.24160766601562,-3.286573886871338,0.25,-2.2035266073927784,1.6008504629135132
12,ACH-000258,-160.4097900390625,-3.083461284637451,0.1875,-2.2915200751172455,1.6746622323989868
13,ACH-000276,-140.0131072998047,-3.2910451889038086,0.1875,-2.391472586495902,1.6518033742904663
14,ACH-000277,-139.6947784423828,-3.2415409088134766,0.171875,-2.476479418727659,1.9220054149627686
15,ACH-000288,-99.35527801513672,-3.1572611331939697,0.09375,-2.54455759017429,1.5892541408538818
16,ACH-000330,-89.78274536132812,-3.163357734680176,0.109375,-2.6064376046248787,1.6727253198623657
17,ACH-000349,-94.8299789428711,-3.1245198249816895,0.078125,-2.65824582666056,2.020035982131958
18,ACH-000352,-89.7433090209961,-3.1307883262634277,0.109375,-2.7055000766208464,2.2101893424987793
19,ACH-000374,-54.3425178527832,-3.144021987915039,0.09375,-2.749352267750266,1.551254391670227
20,ACH-000536,-51.0010986328125,-3.2495484352111816,0.15625,-2.7993718844963578,1.7163760662078857
21,ACH-000554,-42.896095275878906,-3.260303020477295,0.15625,-2.8454649980944513,1.788321852684021
22,ACH-000568,-39.94173049926758,-3.0728399753570557,0.0625,-2.8682024958207117,2.1524810791015625
23,ACH-000573,-30.18732261657715,-3.2080774307250977,0.140625,-2.9021899893111502,1.8839428424835205
24,ACH-000621,-17.97852325439453,-3.3040947914123535,0.203125,-2.9423804695212703,1.4495391845703125
25,ACH-000624,-12.49261474609375,-3.089935302734375,0.109375,-2.957135952842581,1.7677974700927734
26,ACH-000643,-9.718648910522461,-3.2197866439819336,0.125,-2.9834010219565164,1.7406789064407349
27,ACH-000668,-3.913034200668335,-3.159905195236206,0.109375,-3.0010514392844856,1.7559901475906372
28,ACH-000691,-0.3850076496601105,-3.1231260299682617,0.09375,-3.013258898352863,1.8405978679656982
29,ACH-000699,1.4838042259216309,-3.320167064666748,0.1875,-3.043949714984252,1.5308902263641357
30,ACH-000711,8.75905990600586,-3.1746084690093994,0.125,-3.057015590386767,1.7650771141052246
31,ACH-000725,11.808927536010742,-3.164571762084961,0.09375,-3.067771207556586,1.8424897193908691
32,ACH-000755,16.559829711914062,-3.1523656845092773,0.09375,-3.0762306552518552,2.1003143787384033
33,ACH-000759,17.89593505859375,-3.0749704837799072,0.046875,-3.0761046381046606,1.9777958393096924
34,ACH-000768,18.19459342956543,-3.1879453659057617,0.109375,-3.0872887108847706,2.0566248893737793
35,ACH-000783,22.133840560913086,-3.1382675170898438,0.09375,-3.092386591505278,2.154956340789795
36,ACH-000818,28.069093704223633,-3.00742769241333,0.046875,-3.0838907015960833,2.538118362426758
37,ACH-000828,23.17512321472168,-3.0247669219970703,0.078125,-3.0779783236361817,2.353069305419922
38,ACH-000849,15.92435073852539,-3.1722466945648193,0.15625,-3.0874051607290456,1.8025997877120972
39,ACH-000856,17.725364685058594,-3.051572561264038,0.078125,-3.083821900782545,1.7199649810791016
40,ACH-000857,15.885682106018066,-3.2227048873901367,0.1875,-3.0977101994433043,1.6732120513916016
41,ACH-000859,20.71973991394043,-3.1451525688171387,0.078125,-3.102454436380688,1.8380229473114014
42,ACH-000876,24.410512924194336,-3.0891640186309814,0.0625,-3.1011253946057176,2.025101661682129
43,ACH-000902,22.341611862182617,-3.1360630989074707,0.125,-3.104619165035893,1.896071434020996
44,ACH-000910,24.55268096923828,-3.0198898315429688,0.015625,-3.0961462316866006,1.981341004371643
45,ACH-000927,18.511396408081055,-3.1709234714508057,0.109375,-3.103623955663021,1.6791203022003174
46,ACH-000930,21.407318115234375,-3.2081222534179688,0.140625,-3.114073785438516,1.7936187982559204
47,ACH-000934,27.180753707885742,-3.0854616165161133,0.0625,-3.111212568546276,2.0266222953796387
48,ACH-001390,20.947175979614258,-3.1522717475891113,0.09375,-3.1153184864505596,1.6291059255599976
49,ACH-001819,26.758708953857422,-3.1415159702301025,0.09375,-3.1179382348285136,1.9775245189666748
50,ACH-001820,28.52773094177246,-3.1444997787475586,0.078125,-3.120594389220418,2.0718536376953125
51,ACH-000017,28.056962966918945,-3.1185860633850098,0.09375,-3.120393556636877,1.9631526470184326
52,ACH-000019,27.369522094726562,-3.10136079788208,0.0625,-3.1184902807613972,1.9357848167419434
53,ACH-000044,29.65676498413086,-3.0669379234313965,0.09375,-3.113335045028397,2.131955146789551
54,ACH-000097,28.127939224243164,-3.120266914367676,0.078125,-3.114028231962325,2.127559185028076
55,ACH-000111,23.045808792114258,-3.0807719230651855,0.0625,-3.1107026010726115,1.7397570610046387
56,ACH-000117,22.743715286254883,-3.109694480895996,0.0625,-3.11060178905495,1.719569206237793
57,ACH-000147,25.061437606811523,-3.1473610401153564,0.09375,-3.114277714160991,1.9209723472595215
58,ACH-000148,28.676485061645508,-3.047330856323242,0.03125,-3.107583028377216,2.116213321685791
59,ACH-000196,22.708084106445312,-3.0798773765563965,0.140625,-3.104812463195134,1.787205457687378
60,ACH-000212,24.612947463989258,-3.108212471008301,0.0625,-3.1051524639764505,2.018679618835449
61,ACH-000223,23.553556442260742,-3.1814780235290527,0.109375,-3.1127850199317106,1.9441767930984497
62,ACH-000248,23.73270034790039,-3.1028311252593994,0.078125,-3.111789630464479,1.8142729997634888
63,ACH-000258,28.207536697387695,-3.0248866081237793,0.078125,-3.1030993282304093,2.1469945907592773
64,ACH-000276,22.938833236694336,-3.126326322555542,0.078125,-3.1054220276629225,1.8951245546340942
65,ACH-000277,24.976852416992188,-3.2166800498962402,0.140625,-3.1165478298862546,2.019709348678589
66,ACH-000288,28.33236312866211,-3.1417064666748047,0.09375,-3.1190636935651095,2.095045566558838
67,ACH-000330,28.41974449157715,-3.0999057292938232,0.0625,-3.117147897137981,2.015348434448242
68,ACH-000349,26.82059097290039,-3.124650001525879,0.078125,-3.1178981075767704,1.962782859802246
69,ACH-000352,30.07965660095215,-3.051837921142578,0.046875,-3.111292088933351,2.1597301959991455
70,ACH-000374,23.521440505981445,-3.2641005516052246,0.140625,-3.1265729352005387,1.9067507982254028
71,ACH-000536,27.991561889648438,-3.07283353805542,0.046875,-3.1211989954860266,1.8435006141662598
72,ACH-000554,24.056047439575195,-3.184107780456543,0.109375,-3.127489873983078,1.7159383296966553
73,ACH-000568,35.49541473388672,-3.060354709625244,0.046875,-3.120776357547295,2.3345253467559814
74,ACH-000573,29.654184341430664,-3.10953426361084,0.09375,-3.1196521481536497,2.09346342086792
75,ACH-000621,30.52910614013672,-3.1586694717407227,0.09375,-3.123553880512357,2.2064385414123535
76,ACH-000624,31.225072860717773,-3.0578999519348145,0.046875,-3.1169884876546026,2.147515296936035
77,ACH-000643,25.265588760375977,-3.147116184234619,0.09375,-3.120001257312604,1.8621705770492554
78,ACH-000668,27.79573631286621,-3.1542463302612305,0.109375,-3.1234257646074663,1.9825721979141235
79,ACH-000691,30.936159133911133,-3.081145763397217,0.0625,-3.1191977644864415,2.119459629058838
80,ACH-000699,31.191858291625977,-3.122849941253662,0.078125,-3.1195629821631634,2.208259105682373
81,ACH-000711,29.55535888671875,-3.051812171936035,0.03125,-3.1127879011404502,2.071763277053833
82,ACH-000725,30.987943649291992,-3.0635833740234375,0.03125,-3.107867448428749,2.3292274475097656
83,ACH-000755,26.502197265625,-3.1495189666748047,0.09375,-3.1120326002533547,2.1148200035095215
84,ACH-000759,28.490633010864258,-3.0706112384796143,0.046875,-3.1078904640759806,2.1523759365081787
85,ACH-000768,25.683032989501953,-3.1044864654541016,0.0625,-3.1075500642137928,2.0129477977752686
86,ACH-000783,26.051172256469727,-3.0986599922180176,0.0625,-3.106661057014215,2.0579004287719727
87,ACH-000818,31.99831199645996,-3.00742769241333,0.046875,-3.0967377205541267,2.511491298675537
88,ACH-000828,28.037588119506836,-3.0242667198181152,0.046875,-3.0894906204805257,2.4526917934417725
89,ACH-000849,22.80900764465332,-3.1063623428344727,0.09375,-3.0911777927159205,2.1821563243865967
90,ACH-000856,20.658254623413086,-3.068260669708252,0.0625,-3.088886080415154,1.9369029998779297
91,ACH-000857,23.110422134399414,-3.0349411964416504,0.03125,-3.0834915920178037,2.208509922027588
92,ACH-000859,19.52663230895996,-3.032597780227661,0.015625,-3.078402210838789,1.9839913845062256
93,ACH-000876,20.992258071899414,-3.1365978717803955,0.078125,-3.08422177693295,2.2906553745269775
94,ACH-000902,18.55640983581543,-3.1185030937194824,0.09375,-3.087649908611603,1.9008607864379883
95,ACH-000910,21.630237579345703,-3.053274393081665,0.03125,-3.0842123570586093,2.0908725261688232
96,ACH-000927,19.57538414001465,-3.146712064743042,0.09375,-3.0904623278270527,2.074212074279785
97,ACH-000930,22.068248748779297,-3.0896759033203125,0.0625,-3.090383685376379,2.0742223262786865
