epoch,ach_id,loss,rl_loss,vae_recon_loss,vae_kl_loss,used_encoder,mean_reward,validity,baseline,entropy,invalid_penalty,mean_reward_valid,min_reward_valid,max_reward_valid,frac_valid_below_penalty
1,ACH-000019,-1976.736328125,-1983.298828125,6.013729095458984,0.5488321781158447,True,-9.396402359008789,0.109375,-0.9396402359008788,1.6631983518600464,-10.0,-4.481395721435547,-5.2233381271362305,-4.197456359863281,0.0
2,ACH-000044,-2313.900634765625,-2320.79833984375,6.3389410972595215,0.5587130188941956,True,-9.195564270019531,0.125,-1.7652326393127438,2.1457619667053223,-10.0,-3.5645179748535156,-3.7894699573516846,-3.2612500190734863,0.0
3,ACH-000097,-1379.3692626953125,-1385.9102783203125,5.9876203536987305,0.5533373355865479,True,-9.678637504577637,0.0625,-2.5565731258392326,1.4113099575042725,-10.0,-4.8581953048706055,-5.209224700927734,-4.4828715324401855,0.0
4,ACH-000111,-1282.76953125,-1289.20361328125,5.882196426391602,0.5518413782119751,True,-9.649662971496582,0.0625,-3.2658821104049673,1.441206932067871,-10.0,-4.394596576690674,-4.745954513549805,-4.1566691398620605,0.0
5,ACH-000117,-1116.9991455078125,-1123.103271484375,5.565704822540283,0.5384413599967957,True,-9.479724884033203,0.09375,-3.8872663877677907,1.4108562469482422,-10.0,-4.450390815734863,-4.641740322113037,-4.010507106781006,0.0
6,ACH-000147,-1459.567138671875,-1466.2991943359375,6.156045913696289,0.5760572552680969,True,-9.753232955932617,0.046875,-4.473863044584273,2.043095588684082,-10.0,-4.735633850097656,-4.89527702331543,-4.416347503662109,0.0
7,ACH-000148,-1397.94580078125,-1404.333740234375,5.847426891326904,0.5405696034431458,True,-9.476317405700684,0.09375,-4.9741084806959135,2.126674175262451,-10.0,-4.414053440093994,-4.802177429199219,-3.7960166931152344,0.0
8,ACH-000196,-977.5599975585938,-984.0162353515625,5.888925075531006,0.5673055648803711,True,-9.140949249267578,0.140625,-5.39079255755308,1.6485176086425781,-10.0,-3.89119815826416,-5.085062026977539,-3.4596805572509766,0.0
9,ACH-000212,-856.2457275390625,-862.8076171875,5.972692489624023,0.589187502861023,True,-9.41872787475586,0.109375,-5.793586089273359,1.5643528699874878,-10.0,-4.685510158538818,-5.147705078125,-4.219915390014648,0.0
10,ACH-000223,-805.0031127929688,-811.3963623046875,5.832611083984375,0.5606184005737305,True,-9.234457015991211,0.140625,-6.137673181945144,1.6356819868087769,-10.0,-4.556138038635254,-4.97719669342041,-3.7810568809509277,0.0
11,ACH-000248,-599.2702026367188,-605.6435546875,5.812567710876465,0.5607918500900269,True,-9.037704467773438,0.171875,-6.427676310527973,1.316150188446045,-10.0,-4.401191711425781,-5.0888872146606445,-4.067816257476807,0.0
12,ACH-000258,-551.26708984375,-557.53125,5.697431564331055,0.5667110681533813,True,-9.27178955078125,0.109375,-6.712087634553301,1.3272087574005127,-10.0,-3.3420815467834473,-4.365472316741943,-1.5138243436813354,0.0
13,ACH-000276,-640.642333984375,-646.9539184570312,5.739436626434326,0.5721544623374939,True,-9.655634880065918,0.0625,-7.006442359104563,1.6817055940628052,-10.0,-4.4901604652404785,-4.872322082519531,-3.8400793075561523,0.0
14,ACH-000277,-686.3265991210938,-692.62890625,5.762927532196045,0.5393882989883423,True,-9.439489364624023,0.09375,-7.249747059656509,1.9553853273391724,-10.0,-4.0212297439575195,-4.527434349060059,-3.4257683753967285,0.0
15,ACH-000288,-482.1885681152344,-488.6104736328125,5.861891269683838,0.56000816822052,True,-9.329571723937988,0.125,-7.457729526084657,1.5001754760742188,-10.0,-4.636574745178223,-5.205519199371338,-4.234431743621826,0.0
16,ACH-000330,-495.23089599609375,-501.53558349609375,5.725954055786133,0.5787465572357178,True,-9.563163757324219,0.078125,-7.668272949208613,1.6829273700714111,-10.0,-4.408497333526611,-5.123687744140625,-3.3732705116271973,0.0
17,ACH-000349,-503.7113342285156,-509.8348693847656,5.565093517303467,0.558430552482605,True,-9.661453247070312,0.0625,-7.867590978994783,1.821587085723877,-10.0,-4.58326530456543,-4.8955078125,-4.24191427230835,0.0
18,ACH-000352,-468.58331298828125,-474.91253662109375,5.767021179199219,0.5621890425682068,True,-9.151742935180664,0.140625,-7.996006174613371,1.8794243335723877,-10.0,-3.967944622039795,-4.301857948303223,-3.515923023223877,0.0
19,ACH-000374,-373.4953918457031,-379.8042297363281,5.74091100692749,0.5679308772087097,True,-9.844017028808594,0.03125,-8.180807260032893,1.617351770401001,-10.0,-5.0085554122924805,-5.074897766113281,-4.94221305847168,0.0
