epoch,ach_id,loss,rl_loss,vae_recon_loss,vae_kl_loss,used_encoder,mean_reward,validity,baseline,entropy,invalid_penalty,mean_reward_valid,min_reward_valid,max_reward_valid,frac_valid_below_penalty
1,ACH-000019,-986.2236938476562,-992.7862548828125,6.013729095458984,0.5488321781158447,True,-4.943277359008789,0.109375,-0.4943277359008788,1.6631983518600464,-5.0,-4.481395721435547,-5.2233381271362305,-4.197456359863281,0.1428571492433548
2,ACH-000044,-1147.843017578125,-1154.737548828125,6.335822105407715,0.5587235689163208,True,-4.8205647468566895,0.125,-0.9269514369964598,2.1458873748779297,-5.0,-3.5645179748535156,-3.7894699573516846,-3.2612500190734863,0.0
3,ACH-000097,-680.9300537109375,-687.4647216796875,5.981211185455322,0.5534560084342957,True,-4.991137504577637,0.0625,-1.3333700437545775,1.4114696979522705,-5.0,-4.8581953048706055,-5.209224700927734,-4.4828715324401855,0.5
4,ACH-000111,-629.30078125,-635.7223510742188,5.869510173797607,0.5520411729812622,True,-4.962162017822266,0.0625,-1.6962492411613461,1.4416983127593994,-5.0,-4.394596576690674,-4.745954513549805,-4.1566691398620605,0.0
5,ACH-000117,-545.9267578125,-552.0109252929688,5.5453267097473145,0.5388531684875488,True,-4.948473930358887,0.09375,-2.0214717100811,1.4109368324279785,-5.0,-4.450390815734863,-4.641740322113037,-4.010507106781006,0.0
6,ACH-000147,-680.8209228515625,-687.53271484375,6.135249137878418,0.5765589475631714,True,-4.987607955932617,0.046875,-2.318085334666252,1.9651005268096924,-5.0,-4.735633850097656,-4.89527702331543,-4.416347503662109,0.0
7,ACH-000148,-675.7885131835938,-682.1417236328125,5.812021732330322,0.5412189364433289,True,-4.945067405700684,0.09375,-2.580783541769695,2.126549243927002,-5.0,-4.414053440093994,-4.802177429199219,-3.7960166931152344,0.0
8,ACH-000196,-456.38018798828125,-462.7872009277344,5.838284969329834,0.5687256455421448,True,-4.844074726104736,0.140625,-2.8071126602031993,1.6069200038909912,-5.0,-3.89119815826416,-5.085062026977539,-3.4596805572509766,0.1111111119389534
9,ACH-000212,-438.5976257324219,-445.1101379394531,5.921987533569336,0.5905300378799438,True,-4.977791786193848,0.09375,-3.024180572802264,1.6914626359939575,-5.0,-4.763110160827637,-5.147714614868164,-4.283939838409424,0.1666666716337204
10,ACH-000223,-405.7913818359375,-412.12554931640625,5.771974563598633,0.5622011423110962,True,-4.937582015991211,0.140625,-3.215520717121159,1.7666380405426025,-5.0,-4.556138038635254,-4.97719669342041,-3.7810568809509277,0.0
11,ACH-000248,-275.07757568359375,-281.38555908203125,5.745571613311768,0.5624182224273682,True,-4.897079944610596,0.171875,-3.3836766398701026,1.3120625019073486,-5.0,-4.401191711425781,-5.0888872146606445,-4.067816257476807,0.09090909361839294
12,ACH-000258,-246.63226318359375,-252.8198699951172,5.618914604187012,0.5686960816383362,True,-4.79995059967041,0.125,-3.5253040358501333,1.325401782989502,-5.0,-3.399603843688965,-4.365471839904785,-1.5138243436813354,0.0
13,ACH-000276,-305.33843994140625,-311.5646057128906,5.652121543884277,0.5740323066711426,True,-4.956472396850586,0.078125,-3.6684208719501785,1.7988123893737793,-5.0,-4.44285249710083,-4.872293949127197,-3.840078592300415,0.0
14,ACH-000277,-276.70709228515625,-282.90777587890625,5.658878803253174,0.541818380355835,True,-4.90824031829834,0.09375,-3.7924028165849943,1.7900900840759277,-5.0,-4.0212297439575195,-4.527434349060059,-3.4257683753967285,0.0
15,ACH-000288,-220.79771423339844,-227.12733459472656,5.768062114715576,0.561564564704895,True,-4.954571723937988,0.125,-3.9086197073202937,1.5836148262023926,-5.0,-4.636574745178223,-5.205519199371338,-4.234431743621826,0.125
